web-scraper-order,web-scraper-start-url,area,state,name,party
"1719857805-1","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Agiaon (195)","","",""
"1719857805-2","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Vijapur (26)","","",""
"1719857805-3","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Porbandar (83)","","",""
"1719857805-4","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Manavadar (85)","","",""
"1719857805-5","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Khambhat (108)","","",""
"1719857805-6","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Vaghodia (136)","","",""
"1719857805-7","https://results.eci.gov.in/AcResultByeJune2024/index.htm","KARNAL (21)","","",""
"1719857805-8","https://results.eci.gov.in/AcResultByeJune2024/index.htm","DHARAMSHALA (18)","","",""
"1719857805-9","https://results.eci.gov.in/AcResultByeJune2024/index.htm","LAHAUL & SPITI (21)","","",""
"1719857805-10","https://results.eci.gov.in/AcResultByeJune2024/index.htm","SUJANPUR (37)","","",""
"1719857805-11","https://results.eci.gov.in/AcResultByeJune2024/index.htm","BARSAR (39)","","",""
"1719857805-12","https://results.eci.gov.in/AcResultByeJune2024/index.htm","GAGRET (42)","","",""
"1719857805-13","https://results.eci.gov.in/AcResultByeJune2024/index.htm","KUTLEHAR (45)","","",""
"1719857805-14","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Gandey (31)","","",""
"1719857805-15","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Shorapur (36)","","",""
"1719857805-16","https://results.eci.gov.in/AcResultByeJune2024/index.htm","BAGIDORA  (165)","","",""
"1719857805-17","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Vilavancode (233)","","",""
"1719857805-18","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Secunderabad Cantt (71)","","",""
"1719857805-19","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Ramnagar (7)","","",""
"1719857805-20","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Dadraul (136)","","",""
"1719857805-21","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Lucknow East (173)","","",""
"1719857805-22","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Gainsari (292)","","",""
"1719857805-23","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Duddhi  (403)","","",""
"1719857805-24","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Bhagabangola (62)","","",""
"1719857805-25","https://results.eci.gov.in/AcResultByeJune2024/index.htm","Baranagar (113)","","",""
"1719857805-26","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Bihar","",""
"1719857805-27","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Gujarat","",""
"1719857805-28","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Gujarat","",""
"1719857805-29","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Gujarat","",""
"1719857805-30","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Gujarat","",""
"1719857805-31","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Gujarat","",""
"1719857805-32","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Haryana","",""
"1719857805-33","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Himachal Pradesh","",""
"1719857805-34","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Himachal Pradesh","",""
"1719857805-35","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Himachal Pradesh","",""
"1719857805-36","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Himachal Pradesh","",""
"1719857805-37","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Himachal Pradesh","",""
"1719857805-38","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Himachal Pradesh","",""
"1719857805-39","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Jharkhand","",""
"1719857805-40","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Karnataka","",""
"1719857805-41","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Rajasthan","",""
"1719857805-42","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Tamil Nadu","",""
"1719857805-43","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Telangana","",""
"1719857805-44","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Tripura","",""
"1719857805-45","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Uttar Pradesh","",""
"1719857805-46","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Uttar Pradesh","",""
"1719857805-47","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Uttar Pradesh","",""
"1719857805-48","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","Uttar Pradesh","",""
"1719857805-49","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","West Bengal","",""
"1719857805-50","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","West Bengal","",""
"1719857805-51","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","SHIV PRAKASH RANJAN",""
"1719857805-52","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","DR. C. J. CHAVDA",""
"1719857805-53","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","ARJUN DEVABHAI MODHWADIA",""
"1719857805-54","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","ARVINDBHAI JINABHAI LADANI",""
"1719857805-55","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","CHIRAGKUMAR ARVINDBHAI PATEL",""
"1719857805-56","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","DHARMENDRASINH VAGHELA (BAPU)",""
"1719857805-57","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","NAYAB SINGH",""
"1719857805-58","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","SUDHIR SHARMA",""
"1719857805-59","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","ANURADHA RANA",""
"1719857805-60","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","CAPTAIN RANJIT SINGH",""
"1719857805-61","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","INDER DUTT LAKHANPAL",""
"1719857805-62","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","RAKESH KALIA",""
"1719857805-63","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","VIVEK SHARMA (VICKU)",""
"1719857805-64","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","KALPANA MURMU SOREN",""
"1719857805-65","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","RAJA VENUGOPAL NAIK",""
"1719857805-66","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","JAIKRISHN PATEL",""
"1719857805-67","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","THARAHAI CUTHBERT",""
"1719857805-68","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","SRIGANESH",""
"1719857805-69","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","DIPAK MAJUMDER",""
"1719857805-70","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","ARVIND KUMAR SINGH",""
"1719857805-71","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","O. P. SRIVASTAVA",""
"1719857805-72","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","RAKESH KUMAR YADAV",""
"1719857805-73","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","VIJAY SINGH",""
"1719857805-74","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","REYAT HOSSAIN SARKAR",""
"1719857805-75","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","SAYANTIKA BANERJEE",""
"1719857805-76","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Communist Party of India  (Marxist-Leninist)  (Liberation)"
"1719857805-77","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-78","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-79","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-80","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-81","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-82","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-83","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-84","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-85","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-86","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-87","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-88","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-89","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Jharkhand Mukti Morcha"
"1719857805-90","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-91","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharat Adivasi Party"
"1719857805-92","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-93","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Indian National Congress"
"1719857805-94","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-95","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-96","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Bharatiya Janata Party"
"1719857805-97","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Samajwadi Party"
"1719857805-98","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","Samajwadi Party"
"1719857805-99","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","All India Trinamool Congress"
"1719857805-100","https://results.eci.gov.in/AcResultByeJune2024/index.htm","","","","All India Trinamool Congress"
